No,Kode,NamaPerusahaan,papanPencatatan,Sektor,numSelisih,numPenutupan,numGainers,Gainers,numVolume,Volume,numNilai,Nilai,numFreq,Freq
279,FORZ,Forza Land Indonesia Tbk.,Pengembangan,Properties & Real Estate,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
280,FPNI,Lotte Chemical Titan Tbk.,Pengembangan,Basic Materials,6,214,2.88%,gainersSedang gainersRendah,7514500,volumeRendah,1605480800,nilaiRendah,2530,freqRendah
281,FREN,Smartfren Telecom Tbk.,Utama,Infrasctructures,-1,77,-1.28%,gainersRendah,84367400,volumeSedang volumeRendah,6521535700,nilaiRendah,2478,freqRendah
282,FUJI,Fuji Finance Indonesia Tbk.,Pengembangan,Financials,20,635,3.25%,gainersSedang gainersRendah,200,volumeRendah,127000,nilaiRendah,2,freqRendah
283,GAMA,Aksara Global Development Tbk.,Utama,Properties & Real Estate,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
284,GDST,Gunawan Dianjaya Steel Tbk.,Pengembangan,Basic Materials,-14,230,-5.74%,gainersRendah,116913300,volumeSedang volumeRendah,28858325400,nilaiSedang nilaiRendah,11396,freqSedang freqRendah
285,GDYR,Goodyear Indonesia Tbk.,Utama,Cyclic,-40,1300,-2.99%,gainersRendah,300,volumeRendah,389000,nilaiRendah,3,freqRendah
286,GEMA,Gema Grahasarana Tbk.,Pengembangan,Cyclic,0,282,0.00%,gainersRendah,11600,volumeRendah,3200200,nilaiRendah,14,freqRendah
287,GEMS,Golden Energy Mines Tbk.,Utama,Energy,50,7375,0.68%,gainersRendah,68300,volumeRendah,497732500,nilaiRendah,203,freqRendah
288,GGRM,Gudang Garam Tbk.,Utama,Noncyc,-625,22650,-2.69%,gainersRendah,1651900,volumeRendah,37424782500,nilaiSedang nilaiRendah,3816,freqSedang freqRendah
289,GGRP,Gunung Raja Paksi Tbk.,Pengembangan,Basic Materials,35,560,6.67%,gainersSedang gainersRendah,168400,volumeRendah,91715500,nilaiRendah,74,freqRendah
290,GHON,Gihon Telekomunikasi Indonesia Tbk.,Utama,Infrasctructures,-10,2000,-0.50%,gainersRendah,1200,volumeRendah,2400000,nilaiRendah,5,freqRendah
291,GIAA,Garuda Indonesia (Persero) Tbk.,Pengembangan,Transportation & Logistic,0,222,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
292,GJTL,Gajah Tunggal Tbk.,Utama,Cyclic,0,600,0.00%,gainersRendah,2597600,volumeRendah,1570303500,nilaiRendah,329,freqRendah
293,GLOB,Globe Kita Terang Tbk.,Pengembangan,Cyclic,-1,111,-0.89%,gainersRendah,22900,volumeRendah,2618400,nilaiRendah,22,freqRendah
294,GLVA,Galva Technologies Tbk.,Pengembangan,Technology,2,350,0.57%,gainersRendah,272000,volumeRendah,92269400,nilaiRendah,63,freqRendah
295,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,Pengembangan,Infrasctructures,0,68,0.00%,gainersRendah,2047700,volumeRendah,138163800,nilaiRendah,118,freqRendah
296,GMTD,Gowa Makassar Tourism Development Tbk.,Pengembangan,Properties & Real Estate,0,14500,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
297,GOLD,Visi Telekomunikasi Infrastruktur Tbk.,Pengembangan,Infrasctructures,0,318,0.00%,gainersRendah,5100,volumeRendah,1635800,nilaiRendah,11,freqRendah
298,GOLL,Golden Plantation Tbk.,Pengembangan,Noncyc,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
299,GOOD,Garudafood Putra Putri Jaya Tbk.,Utama,Noncyc,0,525,0.00%,gainersRendah,5299300,volumeRendah,2756279000,nilaiRendah,659,freqRendah
300,GOTO,GoTo Gojek Tokopedia Tbk.,Utama,Technology,0,200,0.00%,gainersRendah,710888400,volumeTinggi volumeSedang volumeRendah,144360047100,nilaiSedang nilaiRendah,17268,freqTinggi freqSedang freqRendah
301,GPRA,Perdana Gapuraprima Tbk.,Utama,Properties & Real Estate,-3,98,-2.97%,gainersRendah,9643400,volumeRendah,947427600,nilaiRendah,582,freqRendah
302,GPSO,Geoprima Solusi Tbk.,Pengembangan,Industrials,-3,113,-2.59%,gainersRendah,5146600,volumeRendah,584753500,nilaiRendah,611,freqRendah
303,GSMF,Equity Development Investment Tbk.,Pengembangan,Financials,-2,80,-2.44%,gainersRendah,1950500,volumeRendah,156775000,nilaiRendah,129,freqRendah
304,GTBO,Garda Tujuh Buana Tbk,Pengembangan,Energy,0,75,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
305,GTSI,GTS Internasional Tbk.,Utama,Energy,-1,61,-1.61%,gainersRendah,8472100,volumeRendah,520907700,nilaiRendah,406,freqRendah
306,GULA,Aman Agrindo Tbk.,Pengembangan,Noncyc,5,204,2.51%,gainersSedang gainersRendah,3968200,volumeRendah,794918800,nilaiRendah,396,freqRendah
307,GWSA,Greenwood Sejahtera Tbk.,Utama,Properties & Real Estate,2,161,1.26%,gainersRendah,226500,volumeRendah,35676100,nilaiRendah,52,freqRendah
308,GZCO,Gozco Plantations Tbk.,Utama,Noncyc,2,128,1.59%,gainersRendah,52789800,volumeSedang volumeRendah,6684442000,nilaiRendah,4345,freqSedang freqRendah
309,HADE,Himalaya Energi Perkasa Tbk.,Pengembangan,Infrasctructures,0,50,0.00%,gainersRendah,4500,volumeRendah,225000,nilaiRendah,5,freqRendah
310,HAIS,Hasnur Internasional Shipping Tbk.,Utama,Transportation & Logistic,-4,226,-1.74%,gainersRendah,6838800,volumeRendah,1572954000,nilaiRendah,441,freqRendah
311,HATM,Habco Trans Maritima Tbk.,Pengembangan,Transportation & Logistic,-4,412,-0.96%,gainersRendah,21819100,volumeSedang volumeRendah,9061789600,nilaiRendah,2187,freqRendah
312,HDFA,Radana Bhaskara Finance Tbk.,Utama,Financials,-1,141,-0.70%,gainersRendah,41100,volumeRendah,5841700,nilaiRendah,19,freqRendah
313,HDIT,Hensel Davest Indonesia Tbk.,Utama,Technology,1,88,1.15%,gainersRendah,146146900,volumeSedang volumeRendah,12746954000,nilaiRendah,8732,freqSedang freqRendah
